ts,phase,mode,cycle_time_ms,cycle_num,ch,packets,pps,avg_pps,dwell_ms,z_score
1776656159.4937453,P1_rr_10000ms,rr,10000,45,12,1,1.2562813758850098,,769,
1776656159.4937453,P1_rr_10000ms,rr,10000,45,13,0,0.0,,769,
1776656169.8222847,P1_rr_10000ms,rr,10000,46,1,61,76.63316345214844,,769,
1776656169.8222847,P1_rr_10000ms,rr,10000,46,2,0,0.0,,769,
1776656169.8222847,P1_rr_10000ms,rr,10000,46,3,1,1.2562813758850098,,769,
1776656169.8222847,P1_rr_10000ms,rr,10000,46,4,7,8.793970108032227,,769,
1776656169.8222847,P1_rr_10000ms,rr,10000,46,5,5,6.281406879425049,,769,
1776656169.8222847,P1_rr_10000ms,rr,10000,46,6,260,326.6331787109375,,769,
1776656169.8222847,P1_rr_10000ms,rr,10000,46,7,2,2.5125627517700195,,769,
1776656169.8222847,P1_rr_10000ms,rr,10000,46,8,14,17.587940216064453,,769,
1776656169.8222847,P1_rr_10000ms,rr,10000,46,9,4,5.025125503540039,,769,
1776656169.8222847,P1_rr_10000ms,rr,10000,46,10,0,0.0,,769,
1776656169.8222847,P1_rr_10000ms,rr,10000,46,11,46,57.788944244384766,,769,
1776656169.8222847,P1_rr_10000ms,rr,10000,46,12,1,1.2562813758850098,,769,
1776656169.8222847,P1_rr_10000ms,rr,10000,46,13,0,0.0,,769,
1776656180.1534154,P1_rr_10000ms,rr,10000,47,1,83,104.27135467529297,,769,
1776656180.1534154,P1_rr_10000ms,rr,10000,47,2,10,12.562813758850098,,769,
1776656180.1534154,P1_rr_10000ms,rr,10000,47,3,0,0.0,,769,
1776656180.1534154,P1_rr_10000ms,rr,10000,47,4,0,0.0,,769,
1776656180.1534154,P1_rr_10000ms,rr,10000,47,5,5,6.281406879425049,,769,
1776656180.1534154,P1_rr_10000ms,rr,10000,47,6,259,325.37689208984375,,769,
1776656180.1534154,P1_rr_10000ms,rr,10000,47,7,17,21.356782913208008,,769,
1776656180.1534154,P1_rr_10000ms,rr,10000,47,8,11,13.819095611572266,,769,
1776656180.1534154,P1_rr_10000ms,rr,10000,47,9,4,5.025125503540039,,769,
1776656180.1534154,P1_rr_10000ms,rr,10000,47,10,1,1.2562813758850098,,769,
1776656180.1534154,P1_rr_10000ms,rr,10000,47,11,111,139.44723510742188,,769,
1776656180.1534154,P1_rr_10000ms,rr,10000,47,12,2,2.5125627517700195,,769,
1776656180.1534154,P1_rr_10000ms,rr,10000,47,13,0,0.0,,769,
1776656190.5140204,P1_rr_10000ms,rr,10000,48,1,81,101.75879669189453,,769,
1776656190.5140204,P1_rr_10000ms,rr,10000,48,2,2,2.5125627517700195,,769,
1776656190.5140204,P1_rr_10000ms,rr,10000,48,3,2,2.5125627517700195,,769,
1776656190.5140204,P1_rr_10000ms,rr,10000,48,4,0,0.0,,769,
1776656190.5140204,P1_rr_10000ms,rr,10000,48,5,1,1.2562813758850098,,769,
1776656190.5140204,P1_rr_10000ms,rr,10000,48,6,218,273.8693542480469,,769,
1776656190.5140204,P1_rr_10000ms,rr,10000,48,7,6,7.537688255310059,,769,
1776656190.5140204,P1_rr_10000ms,rr,10000,48,8,3,3.7688441276550293,,769,
1776656190.5140204,P1_rr_10000ms,rr,10000,48,9,14,17.587940216064453,,769,
1776656190.5140204,P1_rr_10000ms,rr,10000,48,10,5,6.281406879425049,,769,
1776656190.5140204,P1_rr_10000ms,rr,10000,48,11,48,60.30150604248047,,769,
1776656190.5140204,P1_rr_10000ms,rr,10000,48,12,1,1.2562813758850098,,769,
1776656190.5140204,P1_rr_10000ms,rr,10000,48,13,0,0.0,,769,
1776656200.9536755,P1_rr_10000ms,rr,10000,49,1,83,104.27135467529297,,769,
1776656200.9536755,P1_rr_10000ms,rr,10000,49,2,8,10.050251007080078,,769,
1776656200.9536755,P1_rr_10000ms,rr,10000,49,3,4,5.025125503540039,,769,
1776656200.9536755,P1_rr_10000ms,rr,10000,49,4,6,7.537688255310059,,769,
1776656200.9536755,P1_rr_10000ms,rr,10000,49,5,9,11.306532859802246,,769,
1776656200.9536755,P1_rr_10000ms,rr,10000,49,6,239,300.2512512207031,,769,
1776656200.9536755,P1_rr_10000ms,rr,10000,49,7,3,3.7688441276550293,,769,
1776656200.9536755,P1_rr_10000ms,rr,10000,49,8,4,5.025125503540039,,769,
1776656200.9536755,P1_rr_10000ms,rr,10000,49,9,13,16.33165740966797,,769,
1776656200.9536755,P1_rr_10000ms,rr,10000,49,10,9,11.306532859802246,,769,
1776656200.9536755,P1_rr_10000ms,rr,10000,49,11,63,79.1457290649414,,769,
1776656200.9536755,P1_rr_10000ms,rr,10000,49,12,56,70.35176086425781,,769,
1776656200.9536755,P1_rr_10000ms,rr,10000,49,13,2,2.5125627517700195,,769,
1776656211.305962,P1_rr_10000ms,rr,10000,50,1,56,70.35176086425781,,769,
1776656211.305962,P1_rr_10000ms,rr,10000,50,2,7,8.793970108032227,,769,
1776656211.305962,P1_rr_10000ms,rr,10000,50,3,3,3.7688441276550293,,769,
1776656211.305962,P1_rr_10000ms,rr,10000,50,4,3,3.7688441276550293,,769,
1776656211.305962,P1_rr_10000ms,rr,10000,50,5,3,3.7688441276550293,,769,
1776656211.305962,P1_rr_10000ms,rr,10000,50,6,283,355.52764892578125,,769,
1776656211.305962,P1_rr_10000ms,rr,10000,50,7,1,1.2562813758850098,,769,
1776656211.305962,P1_rr_10000ms,rr,10000,50,8,0,0.0,,769,
1776656211.305962,P1_rr_10000ms,rr,10000,50,9,1,1.2562813758850098,,769,
1776656211.305962,P1_rr_10000ms,rr,10000,50,10,1,1.2562813758850098,,769,
1776656211.305962,P1_rr_10000ms,rr,10000,50,11,53,66.58291625976562,,769,
1776656211.305962,P1_rr_10000ms,rr,10000,50,12,0,0.0,,769,
1776656211.305962,P1_rr_10000ms,rr,10000,50,13,0,0.0,,769,
1776656221.658233,P1_rr_10000ms,rr,10000,51,1,146,183.41708374023438,,769,
1776656221.658233,P1_rr_10000ms,rr,10000,51,2,5,6.281406879425049,,769,
1776656221.658233,P1_rr_10000ms,rr,10000,51,3,0,0.0,,769,
1776656221.658233,P1_rr_10000ms,rr,10000,51,4,0,0.0,,769,
1776656221.658233,P1_rr_10000ms,rr,10000,51,5,2,2.5125627517700195,,769,
1776656221.658233,P1_rr_10000ms,rr,10000,51,6,182,228.64321899414062,,769,
1776656221.658233,P1_rr_10000ms,rr,10000,51,7,17,21.356782913208008,,769,
1776656221.658233,P1_rr_10000ms,rr,10000,51,8,4,5.025125503540039,,769,
1776656221.658233,P1_rr_10000ms,rr,10000,51,9,2,2.5125627517700195,,769,
1776656221.658233,P1_rr_10000ms,rr,10000,51,10,5,6.281406879425049,,769,
1776656221.658233,P1_rr_10000ms,rr,10000,51,11,44,55.27638244628906,,769,
1776656221.658233,P1_rr_10000ms,rr,10000,51,12,1,1.2562813758850098,,769,
1776656221.658233,P1_rr_10000ms,rr,10000,51,13,0,0.0,,769,
1776656232.032295,P1_rr_10000ms,rr,10000,52,1,130,163.31658935546875,,769,
1776656232.032295,P1_rr_10000ms,rr,10000,52,2,12,15.075376510620117,,769,
1776656232.032295,P1_rr_10000ms,rr,10000,52,3,2,2.5125627517700195,,769,
1776656232.032295,P1_rr_10000ms,rr,10000,52,4,5,6.281406879425049,,769,
1776656232.032295,P1_rr_10000ms,rr,10000,52,5,1,1.2562813758850098,,769,
1776656232.032295,P1_rr_10000ms,rr,10000,52,6,267,335.4271240234375,,769,
1776656232.032295,P1_rr_10000ms,rr,10000,52,7,5,6.281406879425049,,769,
1776656232.032295,P1_rr_10000ms,rr,10000,52,8,1,1.2562813758850098,,769,
1776656232.032295,P1_rr_10000ms,rr,10000,52,9,6,7.537688255310059,,769,
1776656232.032295,P1_rr_10000ms,rr,10000,52,10,4,5.025125503540039,,769,
1776656232.032295,P1_rr_10000ms,rr,10000,52,11,39,48.99497604370117,,769,
1776656232.032295,P1_rr_10000ms,rr,10000,52,12,0,0.0,,769,
1776656232.032295,P1_rr_10000ms,rr,10000,52,13,1,1.2562813758850098,,769,
1776656242.381154,P1_rr_10000ms,rr,10000,53,1,53,66.58291625976562,,769,
1776656242.381154,P1_rr_10000ms,rr,10000,53,2,4,5.025125503540039,,769,
1776656242.381154,P1_rr_10000ms,rr,10000,53,3,3,3.7688441276550293,,769,
1776656242.381154,P1_rr_10000ms,rr,10000,53,4,4,5.025125503540039,,769,
1776656242.381154,P1_rr_10000ms,rr,10000,53,5,1,1.2562813758850098,,769,
1776656242.381154,P1_rr_10000ms,rr,10000,53,6,257,322.86431884765625,,769,
1776656242.381154,P1_rr_10000ms,rr,10000,53,7,9,11.306532859802246,,769,
1776656242.381154,P1_rr_10000ms,rr,10000,53,8,4,5.025125503540039,,769,
1776656242.381154,P1_rr_10000ms,rr,10000,53,9,2,2.5125627517700195,,769,
1776656242.381154,P1_rr_10000ms,rr,10000,53,10,0,0.0,,769,
1776656242.381154,P1_rr_10000ms,rr,10000,53,11,37,46.4824104309082,,769,
1776656242.381154,P1_rr_10000ms,rr,10000,53,12,0,0.0,,769,
1776656242.381154,P1_rr_10000ms,rr,10000,53,13,0,0.0,,769,
1776656252.678847,P1_rr_10000ms,rr,10000,54,1,81,101.75879669189453,,769,
1776656252.678847,P1_rr_10000ms,rr,10000,54,2,9,11.306532859802246,,769,
1776656252.678847,P1_rr_10000ms,rr,10000,54,3,2,2.5125627517700195,,769,
1776656252.678847,P1_rr_10000ms,rr,10000,54,4,0,0.0,,769,
1776656252.678847,P1_rr_10000ms,rr,10000,54,5,0,0.0,,769,
1776656252.678847,P1_rr_10000ms,rr,10000,54,6,352,442.2110595703125,,769,
1776656252.678847,P1_rr_10000ms,rr,10000,54,7,3,3.7688441276550293,,769,
1776656252.678847,P1_rr_10000ms,rr,10000,54,8,4,5.025125503540039,,769,
1776656252.678847,P1_rr_10000ms,rr,10000,54,9,0,0.0,,769,
1776656252.678847,P1_rr_10000ms,rr,10000,54,10,6,7.537688255310059,,769,
1776656252.678847,P1_rr_10000ms,rr,10000,54,11,28,35.175880432128906,,769,
1776656252.678847,P1_rr_10000ms,rr,10000,54,12,0,0.0,,769,
1776656252.678847,P1_rr_10000ms,rr,10000,54,13,0,0.0,,769,
1776656263.1285052,P1_rr_10000ms,rr,10000,55,1,16,20.100502014160156,,769,
1776656263.1285052,P1_rr_10000ms,rr,10000,55,2,1,1.2562813758850098,,769,
1776656263.1285052,P1_rr_10000ms,rr,10000,55,3,6,7.537688255310059,,769,
1776656263.1285052,P1_rr_10000ms,rr,10000,55,4,3,3.7688441276550293,,769,
1776656263.1285052,P1_rr_10000ms,rr,10000,55,5,6,7.537688255310059,,769,
1776656263.1285052,P1_rr_10000ms,rr,10000,55,6,280,351.7587890625,,769,
